Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Debug 0,Debug 1,Debug 2,Debug 3,App message,
80.30475000000186,1413,,,,0.01171875,-0.09765625,-0.888671875,,,12.413761433633894,2.294849162363105,2994,2994,28.26914166687942,,66.034641955952,,,,,,0.87109375,2.2649617056030804,0,0,0,0,,
80.33817000000178,1413,,,,0.21484375,0.087890625,-0.919921875,,3.153484782446771,12.413427617126882,2.2927202503491824,2991,2994,28.256329331343963,,66.07778382154208,,,,,-0.7279080995072682,0.8671875,2.265157666579459,0,0,0,0,,
80.38743500000052,1413,,,,-0.09375,0.173828125,-1.080078125,,,12.413387564681761,2.29372239176305,2993,2994,28.284623915257697,,66.01275498224055,,,,,,0.876953125,2.265602626838084,0,0,0,0,,
80.43116000000015,1413,,,,-0.15625,-0.3359375,-0.931640625,0.059030054532851976,,12.413518643760577,2.2952226072339847,2993,2994,28.349402194413397,18.509351204778234,65.29009351888814,0.170372518601986,0.11123637672572173,0.33429203555473874,-0.4490246853249783,,0.875,2.2661079812916065,0,0,0,0,,
80.45986000000127,1413,,,,-0.0625,-0.13671875,-0.91015625,,,12.413488687184378,2.2914791306972564,2994,2994,28.298933711428134,,65.39671836592568,,,,,,0.869140625,2.266161200916818,0,0,0,0,,
80.5011950000003,1413,,,,0.041015625,0.126953125,-0.92578125,,3.140223967453489,12.413250071916838,2.288211505868171,2994,2994,28.262443401474577,,65.47442697585376,,,,,-0.7265946369601557,0.875,2.266304482894097,0,0,0,0,,
80.5323200000003,1413,,,,0.11328125,0.296875,-1.021484375,,,12.413655237158729,2.2838609458261256,2994,2993,28.207780952858467,,65.59761465418606,,,,,,0.8828125,2.2662769968868273,0,0,0,0,,
80.57252000000142,1413,,,,0.03125,-0.123046875,-0.970703125,0.05953914479732639,,12.414138110854923,2.28155300650325,2989,2993,28.181138416711274,18.66388664982731,66.22829203649104,0.16825134155444219,0.11142998983998999,0.33094632730510914,-0.44932769748070517,,0.87890625,2.266324335816332,0,0,0,0,,
80.6209450000003,1413,,,,-0.142578125,-0.08984375,-0.962890625,,3.135895980028241,12.413503375155404,2.2867965634325556,2992,2994,28.232498683056313,,66.10949777786189,,,,,-0.7261659567176278,0.865234375,2.266904358965068,0,0,0,0,,
80.65337999999896,1413,,,,-0.2734375,0.1796875,-1.01953125,,,12.41322557785681,2.284888610694398,2994,2994,28.22332433071519,,66.13231684318544,,,,,,0.861328125,2.2670020172280236,0,0,0,0,,
80.68965000000037,1413,,,,0.1640625,0.044921875,-0.96875,,,12.413193045440025,2.2853913538744544,2995,2994,28.249590317891347,,66.07728117149972,,,,,,0.865234375,2.2672363924036745,0,0,0,0,,
80.73564500000141,1413,,,,0.068359375,0.005859375,-0.94140625,0.05897864176422413,,12.413635791908987,2.2874240053501533,2995,2994,28.26424229243455,18.491361054595373,65.42316211160181,0.16958708289614655,0.11094923216348249,0.33487630389828593,-0.44919978031955804,,0.86328125,2.2675898460185615,0,0,0,0,,
80.78499000000022,1413,,,,-0.146484375,-0.009765625,-0.984375,,3.133353547300608,12.414150018356064,2.2885403812312877,2994,2994,28.27842747560362,,65.39022579442387,,,,,-0.7259141328163072,0.861328125,2.2679855026404754,0,0,0,0,,
80.82609500000068,1413,,,,-0.0703125,-0.046875,-1,,,12.413551916465845,2.28795962505822,2994,2994,28.251117555801322,,65.44642817935453,,,,,,0.8671875,2.268215579820371,0,0,0,0,,
80.85686500000023,1413,,,,0.162109375,0.017578125,-0.8828125,0.05955887579847826,,12.41304345571727,2.284277681033137,2994,2993,28.23398741493964,18.67015261024102,66.12651743395604,0.1678268845848582,0.11097807409387155,0.3313252083207488,-0.4497640057385793,,0.8671875,2.2682045105791016,0,0,0,0,,
80.89136000000127,1413,,,,0.177734375,0.05859375,-0.89453125,,,12.413112201633837,2.286500576508333,2994,2993,28.247419163602803,,66.09252928394838,,,,,,0.859375,2.2684725246275694,0,0,0,0,,
